SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
134.570007,136.169998,134.330002,136.050003,118.155678,186567800,12779.80957,12914,12779.58008,12904.08008,12904.08008,134450000,1.3141,1.3067,1.3161,1.2975,168
136.520004,136.630005,135.960007,136.410004,118.468315,129869400,12903.33008,12967.91992,12903.25,12949.87012,12949.87012,234650000,1.3152,1.3133,1.3199,1.3114,167.350006
136.729996,137.050003,136.050003,136.470001,118.520416,134042300,12949.33984,13005.04004,12926.11035,12965.69043,12965.69043,164780000,1.3241,1.3246,1.3294,1.3186,171.020004
136.259995,136.550003,135.789993,136.029999,118.138313,124455300,12966.21973,12977.91016,12914.83008,12938.66992,12938.66992,124200000,1.3245,1.3236,1.3268,1.3211,172.940002
135.960007,136.729996,135.5,136.630005,118.659363,137704300,12937.08008,12996.08008,12882.66992,12984.69043,12984.69043,120480000,1.3369,1.3245,1.3375,1.323,173.020004
136.929993,137.199997,136.630005,136.929993,118.919945,105539100,12981.2002,13013.82031,12950.58984,12982.9502,12982.9502,89440000,1.3457,1.3375,1.3489,1.3357,172.229996
136.020004,137.529999,135.800003,137.160004,119.119675,145728900,12981.12988,13027.51953,12882.58984,12981.50977,12981.50977,143530000,1.34,1.3464,1.3479,1.3365,171.699997
137.199997,137.720001,136.929993,137.559998,119.467079,129355900,12976.74023,13021.50977,12952.82031,13005.12012,13005.12012,114490000,1.347,1.3396,1.3472,1.3388,173.490005
137.759995,138.190002,136.539993,137.020004,118.998093,185934700,13005.41992,13055.75,12929.66016,12952.07031,12952.07031,182460000,1.3326,1.3466,1.3487,1.3315,164.289993
137.309998,137.990005,136.929993,137.729996,119.614723,145023500,12952.29004,13032.66992,12943.05957,12980.29981,12980.29981,139670000,1.3312,1.3327,1.3357,1.3281,166.610001
137.639999,137.820007,137,137.309998,119.249947,120638300,12980.75,12997.50977,12927.76953,12977.57031,12977.57031,93900000,1.3203,1.3314,1.3335,1.3188,166.339996
137.100006,137.199997,136.279999,136.75,118.763596,140765000,12977.33984,12977.33984,12883.91016,12962.80957,12962.80957,108630000,1.3218,1.319,1.3241,1.3159,165.649994
135.350006,135.429993,134.360001,134.75,117.02668,202129900,12958.65039,12958.73047,12734.86035,12759.15039,12759.15039,142330000,1.3115,1.322,1.3227,1.3102,162.699997
135.059998,135.910004,134.929993,135.690002,117.843025,143692200,12756.12012,12857.73047,12751.50977,12837.33008,12837.33008,175110000,1.315,1.3116,1.3165,1.3096,163.630005
136.520004,137.320007,136.240005,137.039993,119.015457,116968900,12835.53027,12937.19043,12835.53027,12907.94043,12907.94043,103530000,1.3271,1.3147,1.3292,1.3134,165.279999
137.300003,137.929993,137.130005,137.570007,119.475792,122836800,12908.62012,12968.79004,12906.42969,12922.01953,12922.01953,103240000,1.3114,1.3281,1.3283,1.3096,166.380005
137.550003,137.759995,137.089996,137.580002,119.484436,104003500,12920.58008,12976.36035,12919.98047,12959.70996,12959.70996,100000000,1.3155,1.3112,1.316,1.3079,165.070007
138.320007,140.130005,138.089996,140.059998,121.638229,184090500,12953.2002,13180.40039,12953.12988,13177.67969,13177.67969,163130000,1.3084,1.315,1.3193,1.3052,162.300003
140.100006,140.449997,139.479996,139.910004,121.50798,145163600,13177.15039,13221.26953,13166.25,13194.09961,13194.09961,163610000,1.3029,1.3078,1.3092,1.301,159.570007
140.119995,140.779999,139.759995,140.720001,122.211433,165118500,13192.96973,13253.50977,13170.19043,13252.75977,13252.75977,161650000,1.3083,1.303,1.312,1.3003,161.080002
140.360001,140.479996,140,140.300003,122.380676,152893500,13253.50977,13289.08008,13231.4502,13232.62012,13232.62012,392620000,1.3175,1.3083,1.3189,1.3048,161.300003
140.210007,141.279999,140.110001,140.850006,122.860443,125291100,13231.94043,13269.70996,13208.62988,13239.12988,13239.12988,147120000,1.3241,1.318,1.3266,1.3142,161.589996
